,city_name,group
568,Villeneuve,3
569,Villereversure,4
570,Villes,3
571,Villette-sur-Ain,3
572,Villieu-Loyes-Mollon,3
573,Villieu-Loyes-Mollon,3
574,Villieu-Loyes-Mollon,4
575,Villieu-Loyes-Mollon,4
576,Viriat,3
577,Viriat,3
578,Viriat,3
579,Viriat,3
580,Viriat,3
581,Virieu-le-Grand,4
582,Virieu-le-Petit,3
583,Virignin,4
584,Vongnes,1
585,Vonnas,3
586,Vonnas,3
587,Abbécourt,4
588,Achery,4
589,Acy,4
590,Acy,4
591,Agnicourt-et-Séchelles,3
592,Aguilcourt,4
593,Aisonville-et-Bernoville,4
594,Aizelles,4
595,Aizy-Jouy,4
596,Alaincourt,4
597,Allemant,4
598,Ambleny,4
599,Ambrief,4
600,Amifontaine,4
601,Amigny-Rouy,4
602,Ancienville,4
603,Andelain,4
604,Anguilcourt-le-Sart,3
605,Anizy-le-Château,4
606,Annois,4
607,Any-Martin-Rieux,4
608,Archon,4
609,Arcy-Sainte-Restitue,3
610,Armentières-sur-Ourcq,4
611,Arrancy,3
612,Artemps,4
613,Assis-sur-Serre,4
614,Athies-sous-Laon,4
615,Athies-sous-Laon,4
616,Attilly,4
617,Aubencheul-aux-Bois,3
618,Aubenton,4
619,Aubigny-aux-Kaisnes,4
620,Aubigny-en-Laonnois,3
621,Audignicourt,3
622,Audigny,3
623,Augy,4
624,Aulnois-sous-Laon,4
625,Les Autels,4
626,Autremencourt,4
627,Autreppes,3
628,Autreville,4
629,Azy-sur-Marne,4
630,Bagneux,4
631,Bancigny,1
632,Barenton-Bugny,4
633,Barenton-Cel,4
634,Barenton-sur-Serre,4
635,Barisis-aux-Bois,4
636,Barzy-en-Thiérache,4
637,Barzy-sur-Marne,3
638,Bassoles-Aulers,4
639,Vallées en Champagne,3
640,Vallées en Champagne,3
641,Vallées en Champagne,3
642,Bazoches-sur-Vesles,4
643,Beaumé,4
644,Beaumont-en-Beine,4
645,Beaurevoir,4
646,Beaurieux,4
647,Beautor,4
648,Beautor,4
649,Beautor,4
650,Beauvois-en-Vermandois,4
651,Becquigny,4
652,Belleau,4
653,Bellenglise,4
654,Belleu,4
655,Belleu,4
656,Belleu,4
657,Bellicourt,4
658,Benay,3
659,Bergues-sur-Sambre,3
660,Berlancourt,4
661,Berlise,4
662,Bernot,4
663,Berny-Rivière,4
664,Berrieux,3
665,Berry-au-Bac,4
666,Bertaucourt-Epourdon,4
667,Berthenicourt,4
668,Bertricourt,3
669,Berzy-le-Sec,4
670,Besmé,4
671,Besmont,4
672,Besny-et-Loizy,3
673,Béthancourt-en-Vaux,4
674,Beugneux,4
675,Beuvardes,4
676,Bézu-le-Guéry,4
677,Bézu-Saint-Germain,4
678,Bichancourt,4
679,Bieuxy,0
680,Bièvres,1
681,Billy-sur-Aisne,4
682,Billy-sur-Ourcq,4
683,Blanzy-lès-Fismes,3
684,Blérancourt,4
685,Blesmes,3
686,Bohain-en-Vermandois,4
687,Bohain-en-Vermandois,4
688,Bohain-en-Vermandois,4
689,Bohain-en-Vermandois,4
690,Bois-lès-Pargny,4
691,Boncourt,4
692,Bonneil,4
693,Bonnesvalyn,4
694,Bony,4
695,Bosmont-sur-Serre,4
696,Bouconville-Vauclair,3
697,Boué,4
698,Bouffignereux,3
699,Bouresches,4
700,Bourg-et-Comin,4
701,Bourguignon-sous-Coucy,4
702,Bourguignon-sous-Montbavin,0
703,La Bouteille,4
704,Braine,4
705,Brancourt-en-Laonnois,4
706,Brancourt-le-Grand,4
707,Brasles,3
708,Braye-en-Laonnois,4
709,Braye-en-Thiérache,3
710,Bray-Saint-Christophe,4
711,Braye,4
712,Brécy,4
713,Brenelle,4
714,Breny,4
715,Brie,3
716,Brissay-Choigny,4
717,Brissy-Hamégicourt,4
718,Brumetz,3
719,Brunehamel,4
720,Bruyères-sur-Fère,4
721,Bruyères-et-Montbérault,3
722,Bruys,0
723,Bucilly,4
724,Bucy-le-Long,4
725,Bucy-le-Long,4
726,Bucy-lès-Cerny,3
727,Bucy-lès-Pierrepont,4
728,Buire,4
729,Buironfosse,4
730,Buironfosse,4
731,Burelles,4
732,Bussiares,3
733,Buzancy,3
734,Caillouël-Crépigny,4
735,Camelin,4
736,La Capelle,4
737,La Capelle,4
738,Castres,4
739,Le Catelet,4
740,Caulaincourt,4
741,Caumont,4
742,Celles-lès-Condé,0
743,Celles-sur-Aisne,4
744,Cerizy,3
745,Cerny-en-Laonnois,4
746,Cerny-lès-Bucy,3
747,Cerseuil,3
748,Cessières,4
749,Chacrise,4
750,Chaillevois,0
751,Chalandry,4
752,Chambry,4
753,Chamouille,4
754,Champs,4
755,Chaourse,4
756,La Chapelle-sur-Chézy,4
757,Charly-sur-Marne,3
758,Charly-sur-Marne,4
759,Le Charmel,4
760,Charmes,4
761,Chartèves,4
762,Chassemy,4
763,Château-Thierry,0
764,Château-Thierry,3
765,Château-Thierry,4
766,Château-Thierry,2
767,Château-Thierry,3
768,Château-Thierry,3
769,Château-Thierry,2
770,Château-Thierry,2
771,Château-Thierry,0
772,Château-Thierry,2
773,Château-Thierry,0
774,Château-Thierry,0
775,Châtillon-lès-Sons,3
776,Châtillon-sur-Oise,3
777,Chaudardes,4
778,Chaudun,4
779,Chauny,3
780,Chauny,3
781,Chauny,4
782,Chauny,4
783,Chauny,4
784,Chauny,4
785,Chauny,2
786,Chauny,4
787,Chauny,4
788,Chauny,4
789,Chavignon,4
790,Chavigny,4
791,Chavonne,4
792,Chérêt,3
793,Chermizy-Ailles,4
794,Chéry-Chartreuve,4
795,Chéry-lès-Pouilly,4
796,Chéry-lès-Rozoy,4
797,Chevennes,4
798,Chevregny,4
799,Chevresis-Monceau,4
800,Chézy-en-Orxois,4
801,Chézy-sur-Marne,3
802,Chierry,3
803,Chigny,4
804,Chivres-en-Laonnois,4
805,Chivres-Val,4
806,Chivy-lès-Etouvelles,4
807,Chouy,4
808,Cierges,4
809,Cilly,4
810,Ciry-Salsogne,4
811,Clacy-et-Thierret,4
812,Clairfontaine,4
813,Clamecy,4
814,Clastres,4
815,Clermont-les-Fermes,4
816,Coeuvres-et-Valsery,4
817,Coincy,4
818,Coingt,3
819,Colligis-Crandelain,4
820,Colonfay,4
821,Commenchon,3
822,Concevreux,4
823,Condé-en-Brie,4
824,Condé-sur-Aisne,4
825,Condé-sur-Suippe,4
826,Condren,4
827,Connigis,4
828,Contescourt,4
829,Corbeny,4
830,Corcy,4
831,Coucy-le-Château-Auffrique,4
832,Coucy-lès-Eppes,4
833,Coucy-la-Ville,0
834,Coulonges-Cohan,4
835,Coupru,4
836,Courbes,3
837,Courboin,4
838,Courcelles-sur-Vesles,4
839,Courchamps,4
840,Courmelles,4
841,Courmont,4
842,Courtemont-Varennes,4
843,Courtrizy-et-Fussigny,0
844,Couvrelles,3
845,Couvron-et-Aumencourt,4
846,Coyolles,4
847,Cramaille,4
848,Craonne,3
849,Craonnelle,4
850,Crécy-au-Mont,4
851,Crécy-sur-Serre,4
852,Crépy,4
853,Crézancy,4
854,Croix-Fonsommes,3
855,La Croix-sur-Ourcq,3
856,Crouttes-sur-Marne,4
857,Crouy,4
858,Crouy,4
859,Crupilly,4
860,Cuffies,4
861,Cugny,4
862,Cuirieux,4
863,Cuiry-Housse,3
864,Cuiry-lès-Chaudardes,4
865,Cuiry-lès-Iviers,3
866,Cuissy-et-Geny,4
867,Cuisy-en-Almont,4
868,Cutry,0
869,Cys-la-Commune,4
870,Dagny-Lambercy,3
871,Dallon,3
872,Dammard,4
873,Dampleux,3
874,Danizy,4
875,Dercy,4
876,Deuillet,4
877,Dhuizel,4
878,Dizy-le-Gros,4
879,Dohis,4
880,Dolignon,3
881,Dommiers,4
882,Domptin,4
883,Dorengt,3
884,Douchy,4
885,Dravegny,3
886,Droizy,3
887,Dury,4
888,Ebouleau,4
889,Effry,4
890,Englancourt,3
891,Epagny,4
892,Eparcy,3
893,Epaux-Bézu,3
894,Epieds,4
895,L'Epine-aux-Bois,4
896,Eppes,4
897,Erlon,4
898,Erloy,3
899,Esquéhéries,4
900,Essigny-le-Grand,3
901,Essigny-le-Petit,4
902,Essises,4
903,Essômes-sur-Marne,3
904,Essômes-sur-Marne,4
905,Essômes-sur-Marne,4
906,Essômes-sur-Marne,4
907,Estrées,4
908,Etampes-sur-Marne,4
909,Etaves-et-Bocquiaux,4
910,Etouvelles,3
911,Etréaupont,4
912,Etreillers,4
913,Etrépilly,4
914,Etreux,4
915,Evergnicourt,4
916,Faucoucourt,4
917,Faverolles,3
918,Fayet,1
919,La Fère,4
920,Fère-en-Tardenois,4
921,Fère-en-Tardenois,4
922,Fère-en-Tardenois,4
923,La Ferté-Chevresis,4
924,La Ferté-Milon,4
