,insee_code,group
1688,03095,0
1689,03095,0
1690,03096,0
1691,03097,0
1692,03098,0
1693,03098,0
1694,03098,0
1695,03098,0
1696,03099,3
1697,03100,3
1698,03101,0
1699,03101,0
1700,03101,0
1701,03101,0
1702,03101,0
1703,03101,0
1704,03101,0
1705,03101,0
1706,03102,1
1707,03102,0
1708,03102,0
1709,03103,3
1710,03104,0
1711,03105,4
1712,03106,0
1713,03107,3
1714,03108,0
1715,03109,4
1716,03110,0
1717,03111,0
1718,03112,4
1719,03113,3
1720,03114,4
1721,03115,1
1722,03116,3
1723,03117,0
1724,03118,4
1725,03118,3
1726,03118,0
1727,03118,0
1728,03119,3
1729,03120,3
1730,03121,3
1731,03122,0
1732,03124,3
1733,03125,4
1734,03126,0
1735,03127,0
1736,03128,0
1737,03128,0
1738,03129,0
1739,03130,3
1740,03131,4
1741,03132,3
1742,03133,0
1743,03134,3
1744,03135,3
1745,03136,0
1746,03137,0
1747,03138,3
1748,03138,3
1749,03139,4
1750,03140,0
1751,03141,3
1752,03142,4
1753,03143,2
1754,03144,3
1755,03145,0
1756,03146,0
1757,03147,3
1758,03148,4
1759,03149,0
1760,03150,0
1761,03151,0
1762,03152,4
1763,03154,3
1764,03155,3
1765,03155,3
1766,03156,0
1767,03157,4
1768,03158,0
1769,03158,4
1770,03158,0
1771,03159,0
1772,03160,3
1773,03161,1
1774,03162,1
1775,03163,4
1776,03164,3
1777,03165,3
1778,03166,0
1779,03167,3
1780,03168,3
1781,03168,1
1782,03169,3
1783,03170,0
1784,03171,0
1785,03172,3
1786,03173,3
1787,03174,3
1788,03175,4
1789,03176,4
1790,03177,4
1791,03178,3
1792,03179,3
1793,03180,3
1794,03181,4
1795,03182,3
1796,03183,3
1797,03184,3
1798,03185,1
1799,03185,1
1800,03185,1
1801,03185,0
1802,03185,0
1803,03185,2
1804,03185,0
1805,03185,0
1806,03185,0
1807,03185,2
1808,03185,2
1809,03185,2
1810,03185,2
1811,03185,2
1812,03185,2
1813,03185,2
1814,03185,2
1815,03185,2
1816,03185,0
1817,03185,2
1818,03185,2
1819,03185,0
1820,03185,0
1821,03185,0
1822,03185,2
1823,03185,2
1824,03185,0
1825,03186,0
1826,03186,0
1827,03187,4
1828,03188,3
1829,03189,0
1830,03190,1
1831,03190,0
1832,03190,3
1833,03190,0
1834,03190,0
1835,03190,0
1836,03190,2
1837,03190,0
1838,03190,0
1839,03190,1
1840,03190,0
1841,03190,1
1842,03190,0
1843,03190,1
1844,03190,2
1845,03190,2
1846,03190,1
1847,03190,2
1848,03190,2
1849,03191,0
1850,03192,0
1851,03193,0
1852,03194,3
1853,03195,0
1854,03195,0
1855,03196,3
1856,03197,3
1857,03198,4
1858,03200,0
1859,03201,3
1860,03202,0
1861,03203,4
1862,03204,3
1863,03205,4
1864,03206,0
1865,03207,4
1866,03208,4
1867,03209,3
1868,03210,0
1869,03211,0
